Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
16-Apr-14,Abu Dhabi,U.A.E,16-Apr-14,,,Sheikh Zayed Stadium
17-Apr-14,Abu Dhabi,U.A.E,17-Apr-14,,,Sharjah Cricket Stadium
18-Apr-14,Abu Dhabi,U.A.E,18-Apr-14,,,Sheikh Zayed Stadium
18-Apr-14,Abu Dhabi,U.A.E,18-Apr-14,,,Sheikh Zayed Stadium
19-Apr-14,Abu Dhabi,U.A.E,19-Apr-14,,,Dubai International Cricket Stadium
19-Apr-14,Abu Dhabi,U.A.E,19-Apr-14,,,Dubai International Cricket Stadium
20-Apr-14,Abu Dhabi,U.A.E,20-Apr-14,,,Sharjah Cricket Stadium
21-Apr-14,Abu Dhabi,U.A.E,21-Apr-14,,,Sheikh Zayed Stadium
22-Apr-14,Abu Dhabi,U.A.E,22-Apr-14,,,Sharjah Cricket Stadium
23-Apr-14,Abu Dhabi,U.A.E,23-Apr-14,,,Dubai International Cricket Stadium
24-Apr-14,Abu Dhabi,U.A.E,24-Apr-14,,,Sharjah Cricket Stadium
25-Apr-14,Abu Dhabi,U.A.E,25-Apr-14,,,Dubai International Cricket Stadium
25-Apr-14,Abu Dhabi,U.A.E,25-Apr-14,,,Dubai International Cricket Stadium
26-Apr-14,Abu Dhabi,U.A.E,26-Apr-14,,,Sheikh Zayed Stadium
26-Apr-14,Abu Dhabi,U.A.E,26-Apr-14,,,Sheikh Zayed Stadium
27-Apr-14,Abu Dhabi,U.A.E,27-Apr-14,,,Sharjah Cricket Stadium
27-Apr-14,Abu Dhabi,U.A.E,27-Apr-14,,,Sharjah Cricket Stadium
28-Apr-14,Abu Dhabi,U.A.E,28-Apr-14,,,Dubai International Cricket Stadium
29-Apr-14,Abu Dhabi,U.A.E,29-Apr-14,,,Sheikh Zayed Stadium
30-Apr-14,Abu Dhabi,U.A.E,30-Apr-14,,,Dubai International Cricket Stadium
2-May-14,Ranchi,India,2-May-14,,,JSCA International Stadium Complex
3-May-14,Mumbai,India,3-May-14,,,Wankhede Stadium
3-May-14,Delhi,India,3-May-14,,,Feroz Shah Kotla
4-May-14,Bangalore,India,4-May-14,,,M Chinnaswamy Stadium
5-May-14,Ahmedabad,India,5-May-14,,,"Sardar Patel Stadium, Motera"
5-May-14,Delhi,India,5-May-14,,,Feroz Shah Kotla
6-May-14,Mumbai,India,6-May-14,,,Wankhede Stadium
7-May-14,Delhi,India,7-May-14,,,Feroz Shah Kotla
7-May-14,Cuttack,India,7-May-14,,,Barabati Stadium
8-May-14,Ahmedabad,India,8-May-14,,,"Sardar Patel Stadium, Motera"
9-May-14,Bangalore,India,9-May-14,,,M Chinnaswamy Stadium
10-May-14,Delhi,India,10-May-14,,,Feroz Shah Kotla
10-May-14,Mumbai,India,10-May-14,,,Wankhede Stadium
11-May-14,Cuttack,India,11-May-14,,,Barabati Stadium
11-May-14,Bangalore,India,11-May-14,,,M Chinnaswamy Stadium
12-May-14,Hyderabad,India,12-May-14,,,"Rajiv Gandhi International Stadium, Uppal"
13-May-14,Ranchi,India,13-May-14,,,JSCA International Stadium Complex
13-May-14,Bangalore,India,13-May-14,,,M Chinnaswamy Stadium
14-May-14,Hyderabad,India,14-May-14,,,"Rajiv Gandhi International Stadium, Uppal"
14-May-14,Cuttack,India,14-May-14,,,Barabati Stadium
15-May-14,Ahmedabad,India,15-May-14,,,"Sardar Patel Stadium, Motera"
18-May-14,Ranchi,India,18-May-14,,,JSCA International Stadium Complex
18-May-14,Hyderabad,India,18-May-14,,,"Rajiv Gandhi International Stadium, Uppal"
19-May-14,Ahmedabad,India,19-May-14,,,"Sardar Patel Stadium, Motera"
19-May-14,Delhi,India,19-May-14,,,Feroz Shah Kotla
20-May-14,Hyderabad,India,20-May-14,,,"Rajiv Gandhi International Stadium, Uppal"
20-May-14,Kolkata,India,20-May-14,,,Eden Gardens
21-May-14,Chandigarh,India,21-May-14,,,"Punjab Cricket Association Stadium, Mohali"
22-May-14,Kolkata,India,22-May-14,,,Eden Gardens
22-May-14,Ranchi,India,22-May-14,,,JSCA International Stadium Complex
23-May-14,Mumbai,India,23-May-14,,,Wankhede Stadium
23-May-14,Chandigarh,India,23-May-14,,,"Punjab Cricket Association Stadium, Mohali"
24-May-14,Bangalore,India,24-May-14,,,M Chinnaswamy Stadium
24-May-14,Kolkata,India,24-May-14,,,Eden Gardens
25-May-14,Chandigarh,India,25-May-14,,,"Punjab Cricket Association Stadium, Mohali"
25-May-14,Mumbai,India,25-May-14,,,Wankhede Stadium
27-May-14,Kolkata,India,27-May-14,,,Eden Gardens
28-May-14,Mumbai,India,28-May-14,,,Brabourne Stadium
30-May-14,Mumbai,India,30-May-14,,,Wankhede Stadium
1-Jun-14,Bangalore,India,1-Jun-14,,,M Chinnaswamy Stadium
